,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
count,891.0,891.0,891,714.0,891.0,891.0,891.0,889,891,891,891,203,889,891,891
unique,,,2,,,,,3,3,3,2,7,3,2,2
top,,,male,,,,,S,Third,man,True,C,Southampton,no,True
freq,,,577,,,,,644,491,537,537,59,644,549,537
mean,0.3838383838383838,2.308641975308642,,29.69911764705882,0.5230078563411896,0.38159371492704824,32.204207968574636,,,,,,,,
std,0.4865924542648575,0.836071240977049,,14.526497332334042,1.1027434322934317,0.8060572211299483,49.6934285971809,,,,,,,,
min,0.0,1.0,,0.42,0.0,0.0,0.0,,,,,,,,
25%,0.0,2.0,,20.125,0.0,0.0,7.9104,,,,,,,,
50%,0.0,3.0,,28.0,0.0,0.0,14.4542,,,,,,,,
75%,1.0,3.0,,38.0,1.0,0.0,31.0,,,,,,,,
max,1.0,3.0,,80.0,8.0,6.0,512.3292,,,,,,,,
