,count,unique,top,freq,mean,std,min,25%,50%,75%,max
survived,891.0,,,,0.3838383838383838,0.4865924542648575,0.0,0.0,0.0,1.0,1.0
pclass,891.0,,,,2.308641975308642,0.836071240977049,1.0,2.0,3.0,3.0,3.0
sex,891,2,male,577,,,,,,,
age,714.0,,,,29.69911764705882,14.526497332334042,0.42,20.125,28.0,38.0,80.0
sibsp,891.0,,,,0.5230078563411896,1.1027434322934317,0.0,0.0,0.0,1.0,8.0
parch,891.0,,,,0.38159371492704824,0.8060572211299483,0.0,0.0,0.0,0.0,6.0
fare,891.0,,,,32.204207968574636,49.6934285971809,0.0,7.9104,14.4542,31.0,512.3292
embarked,889,3,S,644,,,,,,,
class,891,3,Third,491,,,,,,,
who,891,3,man,537,,,,,,,
adult_male,891,2,True,537,,,,,,,
deck,203,7,C,59,,,,,,,
embark_town,889,3,Southampton,644,,,,,,,
alive,891,2,no,549,,,,,,,
alone,891,2,True,537,,,,,,,
