title,category_name,price_gbp,rating,in_stock,price_inr
It's Only the Himalayas,Travel,45.17,2,True,4765.44
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,True,5214.86
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,True,5155.78
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,True,3897.17
Under the Tuscan Sun,Travel,37.33,3,True,3938.31
A Summer In Europe,Travel,44.34,2,True,4677.87
The Great Railway Bazaar,Travel,30.54,1,True,3221.97
A Year in Provence (Provence #1),Travel,56.88,4,True,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,True,2448.66
Neither Here nor There: Travels in Europe,Travel,38.95,3,True,4109.23
"1,000 Places to See Before You Die",Travel,26.08,5,True,2751.44
Sharp Objects,Mystery,47.82,4,True,5045.01
"In a Dark, Dark Wood",Mystery,19.63,1,True,2070.96
The Past Never Ends,Mystery,56.5,4,True,5960.75
A Murder in Time,Mystery,16.64,1,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,True,4652.55
The Last Mile (Amos Decker #2),Mystery,54.21,2,True,5719.15
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,True,1127.79
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,True,5100.93
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,True,1765.02
Poisonous (Max Revere Novels #3),Mystery,26.8,3,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,True,5734.98
Most Wanted,Mystery,35.28,3,True,3722.04
Hide Away (Eve Duncan #20),Mystery,11.84,1,True,1249.12
Boar Island (Anna Pigeon #19),Mystery,59.48,3,True,6275.14
The Widow,Mystery,27.26,2,True,2875.93
Playing with Fire,Mystery,13.71,3,True,1446.41
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,True,2676.54
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,True,2203.89
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,True,2616.4
In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,True,4049.09
The Silkworm (Cormoran Strike #2),Mystery,23.05,5,True,2431.78
The Exiled,Mystery,43.45,3,True,4583.98
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,True,2026.66
Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,True,2679.7
Career of Evil (Cormoran Strike #3),Mystery,24.72,2,True,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,True,6087.35
The Girl You Lost,Mystery,12.29,5,True,1296.59
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,True,1672.17
Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,True,2141.65
1st to Die (Women's Murder Club #1),Mystery,53.98,1,True,5694.89
Tipping the Velvet,Historical Fiction,53.74,1,True,5669.57
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,True,3132.3
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,True,5858.41
The House by the Lake,Historical Fiction,36.95,1,True,3898.23
Mrs. Houdini,Historical Fiction,30.25,5,True,3191.38
The Marriage of Opposites,Historical Fiction,28.08,4,True,2962.44
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,True,4836.12
"Love, Lies and Spies",Historical Fiction,20.55,2,True,2168.03
A Paris Apartment,Historical Fiction,39.01,4,True,4115.55
Lilac Girls,Historical Fiction,17.28,2,True,1823.04
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,True,1753.41
The Invention of Wings,Historical Fiction,37.34,1,True,3939.37
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,True,3478.34
The Passion of Dolssa,Historical Fiction,28.32,5,True,2987.76
Girl With a Pearl Earring,Historical Fiction,26.77,1,True,2824.24
Voyager (Outlander #3),Historical Fiction,21.07,5,True,2222.89
The Red Tent,Historical Fiction,35.66,5,True,3762.13
The Last Painting of Sara de Vos,Historical Fiction,55.55,2,True,5860.52
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,True,5225.41
Girl in the Blue Coat,Historical Fiction,46.83,2,True,4940.56
Between Shades of Gray,Historical Fiction,20.79,5,True,2193.34
While You Were Mine,Historical Fiction,41.32,5,True,4359.26
The Secret Healer,Historical Fiction,34.56,3,True,3646.08
Starlark,Historical Fiction,25.83,3,True,2725.06
Lost Among the Living,Historical Fiction,27.7,4,True,2922.35
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,True,1790.33
