book_id,title,price_gbp,price_inr,rating,in_stock,category_id,category_name
1,It's Only the Himalayas,45.17,4765.44,2,1,3,Travel
2,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4,1,3,Travel
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3,1,3,Travel
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2,1,3,Travel
5,Under the Tuscan Sun,37.33,3938.31,3,1,3,Travel
6,A Summer In Europe,44.34,4677.87,2,1,3,Travel
7,The Great Railway Bazaar,30.54,3221.97,1,1,3,Travel
8,A Year in Provence (Provence #1),56.88,6000.84,4,1,3,Travel
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1,1,3,Travel
10,Neither Here nor There: Travels in Europe,38.95,4109.23,3,1,3,Travel
11,"1,000 Places to See Before You Die",26.08,2751.44,5,1,3,Travel
12,Sharp Objects,47.82,5045.01,4,1,2,Mystery
13,"In a Dark, Dark Wood",19.63,2070.96,1,1,2,Mystery
14,The Past Never Ends,56.5,5960.75,4,1,2,Mystery
15,A Murder in Time,16.64,1755.52,1,1,2,Mystery
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,1,2,Mystery
17,The Last Mile (Amos Decker #2),54.21,5719.15,2,1,2,Mystery
18,That Darkness (Gardiner and Renner #1),13.92,1468.56,1,1,2,Mystery
19,Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,1,2,Mystery
20,A Time of Torment (Charlie Parker #14),48.35,5100.93,5,1,2,Mystery
21,A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,1,2,Mystery
22,Poisonous (Max Revere Novels #3),26.8,2827.4,3,1,2,Mystery
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,1,2,Mystery
24,Most Wanted,35.28,3722.04,3,1,2,Mystery
25,Hide Away (Eve Duncan #20),11.84,1249.12,1,1,2,Mystery
26,Boar Island (Anna Pigeon #19),59.48,6275.14,3,1,2,Mystery
27,The Widow,27.26,2875.93,2,1,2,Mystery
28,Playing with Fire,13.71,1446.41,3,1,2,Mystery
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,1,2,Mystery
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,1,2,Mystery
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.89,4,1,2,Mystery
32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,1,2,Mystery
33,In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,1,2,Mystery
34,The Silkworm (Cormoran Strike #2),23.05,2431.78,5,1,2,Mystery
35,The Exiled,43.45,4583.98,3,1,2,Mystery
36,The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.66,1,1,2,Mystery
37,Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,1,2,Mystery
38,Career of Evil (Cormoran Strike #3),24.72,2607.96,2,1,2,Mystery
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,1,2,Mystery
40,The Girl You Lost,12.29,1296.59,5,1,2,Mystery
41,The Girl In The Ice (DCI Erika Foster #1),15.85,1672.17,3,1,2,Mystery
42,Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,1,2,Mystery
43,1st to Die (Women's Murder Club #1),53.98,5694.89,1,1,2,Mystery
44,Tipping the Velvet,53.74,5669.57,1,1,1,Historical Fiction
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3,1,1,Historical Fiction
46,A Flight of Arrows (The Pathfinders #2),55.53,5858.41,5,1,1,Historical Fiction
47,The House by the Lake,36.95,3898.23,1,1,1,Historical Fiction
48,Mrs. Houdini,30.25,3191.38,5,1,1,Historical Fiction
49,The Marriage of Opposites,28.08,2962.44,4,1,1,Historical Fiction
50,Glory over Everything: Beyond The Kitchen House,45.84,4836.12,3,1,1,Historical Fiction
51,"Love, Lies and Spies",20.55,2168.03,2,1,1,Historical Fiction
52,A Paris Apartment,39.01,4115.55,4,1,1,Historical Fiction
53,Lilac Girls,17.28,1823.04,2,1,1,Historical Fiction
54,The Constant Princess (The Tudor Court #1),16.62,1753.41,3,1,1,Historical Fiction
55,The Invention of Wings,37.34,3939.37,1,1,1,Historical Fiction
56,World Without End (The Pillars of the Earth #2),32.97,3478.34,4,1,1,Historical Fiction
57,The Passion of Dolssa,28.32,2987.76,5,1,1,Historical Fiction
58,Girl With a Pearl Earring,26.77,2824.24,1,1,1,Historical Fiction
59,Voyager (Outlander #3),21.07,2222.89,5,1,1,Historical Fiction
60,The Red Tent,35.66,3762.13,5,1,1,Historical Fiction
61,The Last Painting of Sara de Vos,55.55,5860.52,2,1,1,Historical Fiction
62,The Guernsey Literary and Potato Peel Pie Society,49.53,5225.41,1,1,1,Historical Fiction
63,Girl in the Blue Coat,46.83,4940.56,2,1,1,Historical Fiction
64,Between Shades of Gray,20.79,2193.34,5,1,1,Historical Fiction
65,While You Were Mine,41.32,4359.26,5,1,1,Historical Fiction
66,The Secret Healer,34.56,3646.08,3,1,1,Historical Fiction
67,Starlark,25.83,2725.06,3,1,1,Historical Fiction
68,Lost Among the Living,27.7,2922.35,4,1,1,Historical Fiction
69,A Spy's Devotion (The Regency Spies of London #1),16.97,1790.33,5,1,1,Historical Fiction
