title,price_inr
Girl in the Blue Coat,4940.56
Glory over Everything: Beyond The Kitchen House,4836.12
It's Only the Himalayas,4765.44
A Summer In Europe,4677.87
The Murder of Roger Ackroyd (Hercule Poirot #4),4652.55
The Exiled,4583.98
While You Were Mine,4359.26
A Paris Apartment,4115.55
Neither Here nor There: Travels in Europe,4109.23
In the Woods (Dublin Murder Squad #1),4049.09
The Invention of Wings,3939.37
Under the Tuscan Sun,3938.31
The House by the Lake,3898.23
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,3897.17
The Red Tent,3762.13
Most Wanted,3722.04
The Secret Healer,3646.08
World Without End (The Pillars of the Earth #2),3478.34
The Great Railway Bazaar,3221.97
Mrs. Houdini,3191.38
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3132.3
