title,rating,price_inr
A Flight of Arrows (The Pathfinders #2),5,5858.41
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,5517.65
A Time of Torment (Charlie Parker #14),5,5100.93
While You Were Mine,5,4359.26
The Red Tent,5,3762.13
Mrs. Houdini,5,3191.38
The Passion of Dolssa,5,2987.76
"1,000 Places to See Before You Die",5,2751.44
What Happened on Beale Street (Secrets of the South Mysteries #2),5,2676.54
The Silkworm (Cormoran Strike #2),5,2431.78
Voyager (Outlander #3),5,2222.89
Between Shades of Gray,5,2193.34
A Spy's Devotion (The Regency Spies of London #1),5,1790.33
The Girl You Lost,5,1296.59
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,6087.35
A Year in Provence (Provence #1),4,6000.84
The Past Never Ends,4,5960.75
Murder at the 42nd Street Library (Raymond Ambler #1),4,5734.98
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,5214.86
Sharp Objects,4,5045.01
The Murder of Roger Ackroyd (Hercule Poirot #4),4,4652.55
A Paris Apartment,4,4115.55
World Without End (The Pillars of the Earth #2),4,3478.34
The Marriage of Opposites,4,2962.44
Lost Among the Living,4,2922.35
The Mysterious Affair at Styles (Hercule Poirot #1),4,2616.4
Delivering the Truth (Quaker Midwife Mystery #1),4,2203.89
